animal_type,primary_color,sex,dob,intake_date,intake_condition,intake_type,intake_subtype,outcome_date,outcome_type,outcome_is_dead,geopoint,adopted,age,month,season
guinea pig,unknown,Male,2022-11-29,2023-11-29,normal,stray,otc,2023-12-27,adoption,FALSE,"33.8063499, -118.1763413",Yes,2,12,Winter
dog,white,Female,2011-02-05,2021-02-06,ill mild,stray,otc,2021-02-10,return to owner,FALSE,"33.8600568, -118.1898684",No,14,02,Winter
dog,gray,Neutered,2015-02-20,2019-02-20,injured  moderate,stray,field,2019-02-20,return to owner,FALSE,"33.7682329, -118.1586802",No,10,02,Winter
other,gray,Male,2022-03-30,2023-03-30,normal,stray,otc,2023-03-30,transfer,FALSE,"33.7789659, -118.1950758",No,2,03,Spring
dog,white,Spayed,2019-09-14,2024-09-14,aged,stray,otc,2024-09-27,adoption,FALSE,"33.8063499, -118.1763413",Yes,5,09,Fall
dog,cream,Female,2020-12-05,2023-12-05,behavior  moderate,welfare seized,owner died,2024-01-09,rescue,FALSE,"33.7415317, -118.1941785",No,4,01,Winter
dog,unknown,Female,2024-02-06,2024-03-06,under age/weight,stray,otc,2024-03-06,rescue,FALSE,"33.8063499, -118.1763413",No,1,03,Spring
cat,orange,Unknown,2023-05-10,2023-06-10,under age/weight,stray,field,2023-06-10,euthanasia,TRUE,"33.7789659, -118.1950758",No,1,06,Summer
guinea pig,white,Female,2022-04-17,2022-09-17,normal,stray,otc,2022-11-08,transfer,FALSE,"33.8063499, -118.1763413",No,2,11,Fall
cat,orange,Unknown,2023-05-10,2023-06-10,under age/weight,stray,field,2023-06-10,euthanasia,TRUE,"33.7789659, -118.1950758",No,1,06,Summer
rabbit,pink,Unknown,2024-04-09,2024-04-03,under age/weight,stray,born@shelt,2024-04-26,died,TRUE,"33.8063499, -118.1763413",No,0,04,Spring
cat,calico,Female,2013-07-05,2017-07-01,normal,stray,otc,2017-07-19,rescue,FALSE,"33.7813924, -118.1950649",No,11,07,Summer
rabbit,brown,Spayed,2021-05-12,2024-04-03,normal,stray,otc,2024-06-28,rescue,FALSE,"33.8063499, -118.1763413",No,3,06,Summer
cat,gray tabby,Female,2013-11-08,2023-10-11,aged,stray,field,2023-11-15,rescue,FALSE,"33.806198, -118.193705",No,11,11,Fall
cat,black,Neutered,2020-03-04,2020-06-04,normal,stray,otc,2020-06-07,foster to adopt,FALSE,"33.7837074, -118.1950823",Yes,5,06,Summer
cat,white,Unknown,2024-05-09,2024-05-10,under age/weight,stray,otc,2024-06-05,rescue,FALSE,"33.806198, -118.193705",No,0,06,Summer
cat,brown  tabby,Male,2014-04-30,2019-04-30,ill severe,stray,field,2019-05-02,euthanasia,TRUE,"33.7916815, -118.1951035",No,10,05,Spring
cat,brown  tabby,Male,2013-08-28,2018-08-28,ill severe,stray,field,2018-08-28,euthanasia,TRUE,"33.8132203, -118.1950956",No,11,08,Summer
wild,brown,Unknown,2019-05-09,2019-07-09,normal,wildlife,field,2019-07-10,rescue,FALSE,"33.8052026, -118.100246",No,5,07,Summer
dog,black,Male,2014-08-31,2017-08-31,normal,stray,otc,2017-09-20,return to owner,FALSE,"33.8170957, -118.1948533",No,10,09,Fall
cat,black,Neutered,2022-07-09,2024-07-08,ill mild,stray,field,2024-07-22,community cat,FALSE,"33.7741217, -118.195073",No,2,07,Summer
cat,black,Neutered,2023-04-25,2024-04-25,injured  mild,stray,field,2024-05-03,community cat,FALSE,"33.7753353, -118.1950775",No,1,05,Spring
cat,calico,Spayed,2015-07-07,2017-07-19,feral,stray,otc,2017-09-20,adoption,FALSE,"33.7665727, -118.1951753",Yes,9,09,Fall
cat,brown  tabby,Spayed,2020-02-08,2020-10-08,fractious,stray,field,2020-10-28,rescue,FALSE,"33.8064166, -118.1923402",No,5,10,Fall
dog,brown,Neutered,2016-04-30,2019-10-25,normal,stray,otc,2019-11-07,adoption,FALSE,"33.8041556, -118.1949782",Yes,8,11,Fall
cat,orange,Male,2018-09-02,2018-10-23,under age/weight,stray,field,2018-10-25,transfer,FALSE,"33.8064166, -118.1923402",No,6,10,Fall
dog,black,Neutered,2014-01-26,2020-01-26,normal,owner surrender,otc,2020-02-09,rescue,FALSE,"33.8064441, -118.2175173",No,11,02,Winter
cat,gray,Neutered,2018-02-16,2020-02-16,injured  mild,stray,otc,2020-03-19,adoption,FALSE,"33.8061951, -118.2034725",Yes,7,03,Spring
dog,red,Male,2016-08-27,2019-08-27,normal,stray,otc,2019-09-06,transfer,FALSE,"33.8063116, -118.2150865",No,8,09,Fall
cat,brown  tabby,Female,2015-01-15,2017-01-15,normal,stray,otc,2017-01-22,transfer,FALSE,"33.7697544, -118.1717618",No,10,01,Winter
dog,gray,Female,2019-12-10,2022-12-09,normal,stray,otc,2022-12-17,adoption,FALSE,"33.8052063, -118.0990898",Yes,5,12,Winter
cat,gray,Neutered,2008-03-06,2020-03-05,normal,stray,otc,2020-03-14,died,TRUE,"33.8062835, -118.1117922",No,17,03,Spring
reptile,brown,Unknown,2019-08-09,2023-08-08,normal,stray,field,2023-08-11,rescue,FALSE,"33.7680766, -118.1415612",No,5,08,Summer
reptile,brown,Unknown,2021-10-16,2022-10-15,normal,stray,otc,2022-11-05,rescue,FALSE,"33.8062835, -118.1117922",No,3,11,Fall
dog,tricolor,Neutered,2011-11-16,2023-11-15,normal,welfare seized,owner died,2023-11-22,return to owner,FALSE,"33.7680766, -118.1415612",No,13,11,Fall
dog,tan,Female,2020-10-11,2023-04-10,normal,stray,field,2023-04-22,adoption,FALSE,"33.7463568, -118.1109545",Yes,4,04,Spring
dog,gray,Female,2011-03-05,2023-03-05,injured  mild,stray,otc,2023-03-25,rescue,FALSE,"33.806199, -118.190039",No,14,03,Spring
cat,black,Spayed,2024-05-06,2024-08-18,normal,return,NA,2024-08-22,adoption,FALSE,"34.0732842, -118.4530227",Yes,0,08,Summer
cat,black,Male,2015-01-03,2023-01-03,injured  severe,stray,field,2023-01-03,euthanasia,TRUE,"33.8062541, -118.1719761",No,10,01,Winter
rabbit,black,Neutered,2024-02-05,2024-06-05,normal,stray,otc,2024-07-11,rescue,FALSE,"33.85594620000001, -118.189823",No,1,07,Summer
rabbit,white,Spayed,2024-02-05,2024-06-05,normal,stray,otc,2024-08-29,adoption,FALSE,"33.85594620000001, -118.189823",Yes,1,08,Summer
cat,black,Female,2023-07-15,2023-08-18,under age/weight,stray,otc,2023-09-03,rescue,FALSE,"33.8064735, -118.2194345",No,1,09,Fall
cat,calico,Female,2024-10-11,2024-10-26,under age/weight,stray,otc,2024-10-26,rescue,FALSE,"33.8633618, -118.1898972",No,0,10,Fall
dog,tricolor,Female,2016-12-29,2017-10-29,normal,stray,otc,2017-11-04,transfer,FALSE,"33.8062218, -118.1958972",No,8,11,Fall
dog,brown,Male,2006-05-18,2019-12-21,injured  severe,welfare seized,emergency,2019-12-21,return to owner,FALSE,"33.8606985, -118.1897631",No,18,12,Winter
cat,calico tabby,Spayed,2023-08-29,2023-10-04,under age/weight,stray,otc,2023-10-29,adoption,FALSE,"33.8753801, -118.1967604",Yes,1,10,Fall
cat,brown  tabby,Spayed,2023-06-19,2024-01-24,ill mild,owner surrender,otc,2024-01-27,adoption,FALSE,"33.7686022, -118.1649357",Yes,1,01,Winter
cat,calico,Female,2014-09-23,2017-09-23,ill severe,stray,field,2017-09-23,euthanasia,TRUE,"33.8063982, -118.1652254",No,10,09,Fall
cat,black,Spayed,2017-09-16,2018-01-16,feral,stray,field,2018-01-27,"shelter, neuter, return",FALSE,"33.8575206, -118.1600949",No,7,01,Winter
cat,calico,Unknown,2019-04-17,2019-04-19,under age/weight,stray,otc,2019-04-20,rescue,FALSE,"33.8575206, -118.1600949",No,5,04,Spring
cat,gray tabby,Neutered,2022-05-15,2022-07-15,normal,stray,otc,2022-07-24,adoption,FALSE,"33.8593433, -118.1598381",Yes,2,07,Summer
dog,brown,Male,2014-03-16,2017-03-16,normal,owner surrender,otc,2017-03-17,return to owner,FALSE,"33.8503574, -118.1896391",No,11,03,Spring
dog,white,Female,2016-12-23,2017-12-23,normal,stray,field,2017-12-29,transfer,FALSE,"33.8063752, -118.1967236",No,8,12,Winter
dog,brown,Male,2008-08-04,2017-11-03,normal,owner surrender,otc,2017-11-14,rescue,FALSE,"33.8726072, -118.1967566",No,16,11,Fall
cat,seal point,Spayed,2017-06-12,2019-06-12,normal,stray,otc,2019-07-19,transfer,FALSE,"33.8755852, -118.1955214",No,7,07,Summer
cat,black smoke,Male,2017-04-09,2017-06-03,under age/weight,stray,otc,2017-06-09,rescue,FALSE,"33.804991, -118.1218397",No,7,06,Summer
cat,black,Spayed,2019-05-01,2019-06-12,under age/weight,stray,otc,2019-11-16,rescue,FALSE,"33.8755852, -118.1955214",No,5,11,Fall
cat,black,Unknown,2016-08-02,2017-08-02,feral,stray,otc,2017-08-17,euthanasia,TRUE,"33.804991, -118.1218397",No,8,08,Summer
cat,black,Neutered,2012-08-16,2017-08-16,normal,stray,otc,2017-08-28,euthanasia,TRUE,"33.804991, -118.1218397",No,12,08,Summer
cat,orange tabby,Female,2017-07-17,2017-08-17,under age/weight,stray,otc,2017-08-17,euthanasia,TRUE,"33.8732943, -118.1967604",No,7,08,Summer
cat,brown  tabby,Unknown,2018-03-01,2018-03-09,under age/weight,stray,otc,2018-03-09,rescue,FALSE,"33.8062598, -118.1741667",No,7,03,Spring
cat,orange tabby,Spayed,2015-08-17,2017-08-17,feral,stray,otc,2017-09-17,euthanasia,TRUE,"33.8732943, -118.1967604",No,9,09,Fall
cat,brown  tabby,Male,2018-10-11,2018-11-16,under age/weight,stray,otc,2018-12-10,adoption,FALSE,"33.8062598, -118.1741667",Yes,6,12,Winter
cat,orange tabby,Unknown,2014-07-15,2017-07-15,feral,stray,otc,2017-07-21,euthanasia,TRUE,"33.8732943, -118.1967604",No,10,07,Summer
cat,black,Neutered,2019-09-23,2019-11-23,normal,stray,otc,2019-12-27,rescue,FALSE,"33.7998385, -118.1892602",No,5,12,Winter
cat,brown  tabby,Unknown,2018-03-01,2018-03-09,under age/weight,stray,otc,2018-03-09,rescue,FALSE,"33.8062598, -118.1741667",No,7,03,Spring
cat,gray tabby,Spayed,2021-07-29,2021-09-30,normal,stray,otc,2021-12-09,transfer,FALSE,"33.7889478, -118.1892662",No,3,12,Winter
cat,brown  tabby,Unknown,2018-03-01,2018-03-09,under age/weight,stray,otc,2018-03-09,rescue,FALSE,"33.8062598, -118.1741667",No,7,03,Spring
cat,gray tabby,Female,2019-10-01,2019-10-25,under age/weight,stray,otc,2019-10-25,rescue,FALSE,"33.8549557, -118.1896876",No,5,10,Fall
dog,gray,Spayed,2012-06-16,2017-06-16,normal,stray,otc,2017-07-27,transport,FALSE,"33.8052063, -118.0990898",No,12,07,Summer
dog,brown,Neutered,2014-03-30,2019-03-14,normal,owner surrender,otc,2019-03-21,return to owner,FALSE,"33.8052063, -118.0990898",No,11,03,Spring
dog,white,Male,2013-02-25,2019-02-25,normal,stray,field,2019-02-27,return to owner,FALSE,"33.806198, -118.193705",No,12,02,Winter
cat,black,Female,2018-08-28,2018-09-28,under age/weight,stray,otc,2018-10-07,transfer,FALSE,"33.8753801, -118.1967604",No,6,10,Fall
cat,orange tabby,Spayed,2022-06-15,2022-06-24,under age/weight,stray,field,2022-08-06,adoption,FALSE,"33.8065321, -118.1580944",Yes,2,08,Summer
cat,black,Male,2018-08-20,2018-08-30,under age/weight,stray,otc,2018-09-23,rescue,FALSE,"33.8753801, -118.1967604",No,6,09,Fall
cat,gray,Female,2018-08-28,2018-09-28,under age/weight,stray,otc,2018-10-07,transfer,FALSE,"33.8753801, -118.1967604",No,6,10,Fall
cat,tortie,Spayed,2024-05-05,2024-07-24,normal,welfare seized,police,2024-12-12,adoption,FALSE,"33.8062541, -118.1719761",Yes,0,12,Winter
cat,calico dilute,Female,2016-11-15,2018-11-15,ill severe,stray,field,2018-11-15,euthanasia,TRUE,"33.8497111, -118.1896638",No,8,11,Fall
dog,white,Female,2015-02-26,2019-05-07,normal,owner surrender,otc,2019-05-18,adoption,FALSE,"33.5630625, -117.6836408",Yes,10,05,Spring
dog,white,Spayed,2020-12-15,2021-12-15,normal,stray,otc,2021-12-24,return to owner,FALSE,"33.871828, -118.1967512",No,4,12,Winter
cat,white,Spayed,2024-09-23,2024-10-28,ill mild,stray,field,2024-11-23,adoption,FALSE,"33.8582581, -118.1897108",Yes,0,11,Fall
cat,black,Neutered,2020-09-02,2023-12-13,normal,welfare seized,eviction,2024-06-21,rescue,FALSE,"33.7700504, -118.1937395",No,4,06,Summer
cat,black,Neutered,2022-09-02,2023-12-13,normal,welfare seized,eviction,2024-01-21,adoption,FALSE,"33.7700504, -118.1937395",Yes,2,01,Winter
dog,gray,Neutered,2014-08-24,2018-07-05,normal,owner surrender,otc,2018-09-16,adoption,FALSE,"33.8027478, -118.1901446",Yes,10,09,Fall
dog,white,Neutered,2016-02-11,2017-02-11,normal,confiscate,cruelty,2017-02-12,return to owner,FALSE,"33.7645166, -118.1908882",No,9,02,Winter
cat,tortie,Female,2017-07-24,2023-07-24,injured  moderate,owner surrender,field,2023-08-26,adoption,FALSE,"33.807237, -118.202663",Yes,7,08,Summer
cat,brown  tabby,Female,2013-11-02,2019-11-02,injured  moderate,stray,field,2019-11-02,euthanasia,TRUE,"33.8065498, -118.0986885",No,11,11,Fall
dog,tan,Male,2016-09-08,2019-09-08,normal,stray,otc,2019-09-11,return to owner,FALSE,"33.8510347, -118.189652",No,8,09,Fall
dog,black,Spayed,2013-09-09,2020-08-16,normal,confiscate,vicious,2020-09-20,return to owner,FALSE,"33.7682368, -118.1337978",No,11,09,Fall
cat,tortie,Female,2017-08-21,2017-10-21,normal,stray,otc,2017-11-02,euthanasia,TRUE,"33.8065417, -118.1207862",No,7,11,Fall
dog,brown,Spayed,2018-11-16,2020-08-16,normal,confiscate,vicious,2020-11-07,return to owner,FALSE,"33.7682368, -118.1337978",No,6,11,Fall
cat,gray tabby,Male,2017-11-04,2017-11-08,under age/weight,stray,otc,2017-11-08,euthanasia,TRUE,"33.8081889, -118.2127081",No,7,11,Fall
bird,black,Unknown,2021-10-04,2022-10-04,injured  severe,wildlife,field,2022-10-04,transfer,FALSE,"33.7680947, -118.1480931",No,3,10,Fall
dog,black,Neutered,2021-02-22,2024-04-17,normal,stray,otc,2024-04-18,return to owner,FALSE,"33.7634452, -118.1591989",No,4,04,Spring
bird,gray,Unknown,2018-02-22,2018-08-22,injured  severe,wildlife,field,2018-08-22,died,TRUE,"33.8065804, -118.117704",No,7,08,Summer
dog,white,Male,2023-03-03,2024-05-29,normal,stray,field,2024-06-01,return to owner,FALSE,"33.8134689, -118.1958981",No,2,06,Summer
cat,black,Female,2018-05-12,2020-05-12,normal,stray,otc,2020-05-31,rescue,FALSE,"33.8749345, -118.1597593",No,6,05,Spring
cat,gray,Unknown,2014-09-14,2019-09-14,ill severe,stray,field,2019-09-14,euthanasia,TRUE,"33.7682407, -118.1213283",No,10,09,Fall
dog,tan,Spayed,2009-06-01,2023-11-08,welfare seizures,welfare seized,hospital,2023-11-15,return to owner,FALSE,"33.8080748, -118.1849237",No,15,11,Fall
dog,white,Neutered,2019-07-27,2023-08-17,welfare seizures,welfare seized,hospital,2023-08-24,return to owner,FALSE,"33.8080748, -118.1849237",No,5,08,Summer
cat,orange tabby,Male,2017-08-09,2018-04-09,normal,confiscate,cruelty,2018-04-14,return to owner,FALSE,"33.7681145, -118.1606091",No,7,04,Spring
cat,brown  tabby,Male,2023-05-14,2023-06-03,ill moderatete,stray,otc,2023-06-03,euthanasia,TRUE,"33.8080748, -118.1849237",No,1,06,Summer
dog,black,Male,2011-07-10,2019-07-10,normal,owner surrender,otc,2019-07-11,transfer,FALSE,"33.7681145, -118.1606091",No,13,07,Summer
cat,black,Neutered,2009-05-01,2019-05-01,normal,stray,otc,2019-05-07,transfer,FALSE,"33.7680926, -118.1513633",No,15,05,Spring
cat,brown  tabby,Neutered,2024-07-26,2024-09-26,normal,stray,otc,2024-12-12,adoption,FALSE,"33.8080748, -118.1849237",Yes,0,12,Winter
cat,brown  tabby,Spayed,2024-07-26,2024-09-26,normal,stray,otc,2024-10-10,adoption,FALSE,"33.8080748, -118.1849237",Yes,0,10,Fall
dog,brown,Neutered,2018-07-05,2020-07-05,normal,stray,field,2020-07-05,return to owner,FALSE,"33.7680881, -118.1567774",No,6,07,Summer
dog,white,Spayed,2018-01-01,2020-01-27,normal,stray,field,2020-01-29,return to owner,FALSE,"33.8080748, -118.1849237",No,7,01,Winter
dog,black,Spayed,2017-10-19,2020-01-27,normal,stray,field,2020-01-29,return to owner,FALSE,"33.8080748, -118.1849237",No,7,01,Winter
dog,black,Female,2019-07-15,2024-07-15,injured  mild,stray,field,2024-07-31,rescue,FALSE,"33.8679656, -118.191195",No,5,07,Summer
dog,black,Neutered,2020-09-12,2021-09-12,normal,stray,field,2021-10-10,foster to adopt,FALSE,"33.8080748, -118.1849237",Yes,4,10,Fall
cat,brown  tabby,Unknown,2020-12-10,2023-12-10,injured  severe,stray,field,2023-12-10,euthanasia,TRUE,"33.7683175, -118.1519938",No,4,12,Winter
dog,brown,Neutered,2014-01-07,2021-01-07,normal,stray,otc,2021-01-13,adoption,FALSE,"33.8080748, -118.1849237",Yes,11,01,Winter
cat,gray,Female,2009-01-12,2017-01-12,normal,owner surrender,otc,2017-01-13,transfer,FALSE,"33.7682433, -118.1380748",No,16,01,Winter
dog,black,Female,2020-01-26,2022-01-25,normal,stray,field,2022-01-26,return to owner,FALSE,"33.8080748, -118.1849237",No,5,01,Winter
dog,black,Female,2023-04-09,2023-11-09,injured  severe,welfare seized,emergency,2023-11-09,euthanasia,TRUE,"33.8080748, -118.1849237",No,1,11,Fall
cat,black,Female,2023-07-31,2023-08-21,ill mild,stray,field,2023-08-21,rescue,FALSE,"33.8080748, -118.1849237",No,1,08,Summer
cat,cream,Male,2023-07-31,2023-08-21,ill mild,stray,field,2023-08-21,rescue,FALSE,"33.8080748, -118.1849237",No,1,08,Summer
wild,black,Unknown,2017-03-01,2017-04-29,normal,stray,otc,2017-04-29,euthanasia,TRUE,"33.7682329, -118.1586802",No,8,04,Spring
cat,white,Unknown,2017-01-17,2017-01-18,under age/weight,stray,field,2017-01-18,euthanasia,TRUE,"33.8066975, -118.1241089",No,8,01,Winter
wild,black,Unknown,2017-03-01,2017-04-29,normal,stray,otc,2017-04-29,euthanasia,TRUE,"33.7682329, -118.1586802",No,8,04,Spring
cat,white,Unknown,2017-01-17,2017-01-18,under age/weight,stray,field,2017-01-18,euthanasia,TRUE,"33.8066975, -118.1241089",No,8,01,Winter
other,brown,Unknown,2019-08-31,2020-08-31,ill severe,wildlife,field,2020-08-31,transfer,FALSE,"33.768187, -118.123855",No,5,08,Summer
cat,brown  tabby,Unknown,2017-09-26,2017-11-11,feral,stray,otc,2017-11-11,euthanasia,TRUE,"33.7789659, -118.1950758",No,7,11,Fall
cat,black,Female,2017-10-04,2017-11-11,feral,stray,otc,2017-11-27,adoption,FALSE,"33.7789659, -118.1950758",Yes,7,11,Fall
cat,brown  tabby,Neutered,2024-08-31,2024-09-01,under age/weight,stray,otc,2024-11-03,adoption,FALSE,"33.8081825, -118.2118167",Yes,0,11,Fall
cat,flame point,Female,2017-07-10,2019-07-10,normal,stray,otc,2019-07-24,euthanasia,TRUE,"33.7861145, -118.1952221",No,7,07,Summer
cat,seal point,Spayed,2022-05-30,2022-06-30,under age/weight,stray,otc,2022-07-02,adoption,FALSE,"33.8084713, -118.1666287",Yes,2,07,Summer
dog,brown,Male,2005-07-05,2018-07-05,injured  severe,stray,field,2018-07-07,euthanasia,TRUE,"33.8084713, -118.1666287",No,19,07,Summer
cat,calico,Female,2019-07-01,2019-07-31,under age/weight,stray,otc,2019-08-02,rescue,FALSE,"33.8084713, -118.1666287",No,5,08,Summer
cat,calico,Female,2018-07-04,2018-10-04,normal,stray,otc,2018-11-27,transfer,FALSE,"33.8132203, -118.1950956",No,6,11,Fall
other,gray,Male,2018-11-17,2019-07-17,ill severe,wildlife,field,2019-07-17,transfer,FALSE,"33.808202, -118.1956642",No,6,07,Summer
cat,brown  tabby,Female,2018-07-04,2018-10-04,normal,stray,otc,2018-11-27,transfer,FALSE,"33.8132203, -118.1950956",No,6,11,Fall
cat,black,Spayed,2022-11-06,2022-12-21,ill mild,stray,otc,2022-12-31,adoption,FALSE,"33.808202, -118.1956642",Yes,2,12,Winter
cat,orange tabby,Male,2018-03-24,2018-05-24,normal,stray,otc,2018-05-26,rescue,FALSE,"33.808202, -118.1956642",No,7,05,Spring
wild,brown,Male,2017-09-15,2022-09-15,injured  severe,wildlife,field,2022-09-15,euthanasia,TRUE,"33.7729118, -118.1950788",No,7,09,Fall
cat,tortie,Female,2018-04-06,2018-05-24,under age/weight,stray,otc,2018-05-26,rescue,FALSE,"33.808202, -118.1956642",No,6,05,Spring
dog,tan,Female,2012-07-06,2022-07-06,normal,stray,otc,2022-07-18,euthanasia,TRUE,"33.8067595, -118.1339984",No,12,07,Summer
dog,brown,Neutered,2014-02-26,2019-02-26,normal,stray,field,2019-05-30,adoption,FALSE,"33.8465616, -118.2024561",Yes,11,05,Spring
cat,black,Neutered,2018-07-10,2018-10-10,under age/weight,stray,otc,2018-12-13,adoption,FALSE,"33.7971209, -118.1948039",Yes,6,12,Winter
dog,brown brindle,Neutered,2017-09-19,2018-11-08,normal,owner surrender,otc,2018-11-13,euthanasia,TRUE,"33.7697544, -118.1717618",No,7,11,Fall
cat,white,Female,2020-10-06,2022-02-02,behavior  mild,stray,otc,2022-02-03,return to owner,FALSE,"33.7678898, -118.1588955",No,4,02,Winter
bird,blue,Unknown,2016-08-16,2017-08-16,ill moderatete,wildlife,field,2017-08-16,died,TRUE,"33.7682648, -118.1615211",No,8,08,Summer
cat,brown  tabby,Unknown,2023-04-25,2023-06-10,ill moderatete,stray,field,2023-06-10,euthanasia,TRUE,"33.8590048, -118.158953",No,1,06,Summer
wild,brown,Unknown,2019-10-03,2020-10-03,ill severe,wildlife,field,2020-10-03,died,TRUE,"33.7726178, -118.158923",No,5,10,Fall
dog,red,Female,2023-01-12,2023-04-23,normal,owner surrender,otc,2023-04-23,transfer,FALSE,"33.77523120000001, -118.1566166",No,2,04,Spring
dog,black,Male,2017-06-22,2018-06-22,normal,stray,field,2018-06-28,transfer,FALSE,"33.7726178, -118.158923",No,7,06,Summer
dog,black,Male,2024-06-29,2024-09-14,under age/weight,owner surrender,otc,2024-09-14,rescue,FALSE,"33.81184140000001, -118.214129",No,0,09,Fall
dog,white,Spayed,2021-05-12,2022-05-12,normal,welfare seized,police,2022-05-26,return to owner,FALSE,"33.8749345, -118.1597593",No,3,05,Spring
cat,brown  tabby,Spayed,2022-06-26,2024-06-26,ill mild,stray,otc,2024-07-05,community cat,FALSE,"33.81184140000001, -118.214129",No,2,07,Summer
cat,black,Spayed,2019-07-24,2020-07-24,normal,stray,trap,2020-07-30,"shelter, neuter, return",FALSE,"33.8118509, -118.2141162",No,5,07,Summer
cat,brown  tabby,Male,2019-02-03,2023-02-03,ill mild,stray,field,2023-02-03,euthanasia,TRUE,"33.8717171, -118.1599543",No,6,02,Winter
guinea pig,black,Female,2013-06-16,2017-06-16,normal,owner surrender,otc,2017-07-21,rescue,FALSE,"33.8116781, -118.0797315",No,11,07,Summer
dog,red,Spayed,2020-07-08,2022-07-08,normal,stray,field,2022-07-15,adoption,FALSE,"33.8717171, -118.1599543",Yes,4,07,Summer
dog,blue,Male,2016-02-04,2017-02-04,normal,quarantine,NA,2017-02-16,return to owner,FALSE,"33.8116535, -118.213288",No,9,02,Winter
wild,gray,Male,2024-05-14,2024-10-14,injured  moderate,wildlife,field,2024-10-14,euthanasia,TRUE,"33.8717171, -118.1599543",No,0,10,Fall
cat,gray,Male,2023-04-16,2023-04-28,under age/weight,stray,otc,2023-06-14,adoption,FALSE,"33.8171036, -118.1752462",Yes,1,06,Summer
cat,orange,Male,2014-08-30,2017-08-30,injured  severe,stray,field,2017-09-03,euthanasia,TRUE,"33.8717171, -118.1599543",No,10,09,Fall
cat,lynx point,Spayed,2017-04-16,2018-10-16,normal,stray,field,2018-12-30,adoption,FALSE,"33.8116554, -118.1806633",Yes,7,12,Winter
cat,gray,Neutered,2017-10-12,2017-11-12,injured  severe,stray,field,2018-03-16,rescue,FALSE,"33.8731981, -118.1596043",No,7,03,Spring
wild,gray,Unknown,2017-06-22,2017-06-28,under age/weight,wildlife,otc,2017-06-28,rescue,FALSE,"33.7670703, -118.1589357",No,7,06,Summer
cat,black,Female,2019-09-19,2019-12-19,normal,stray,otc,2019-12-19,transfer,FALSE,"33.8116554, -118.1806633",No,5,12,Winter
dog,black,Male,2020-06-06,2023-06-06,normal,stray,field,2023-06-21,rescue,FALSE,"33.7624598, -118.1596777",No,4,06,Summer
cat,gray tabby,Male,2024-03-04,2024-11-04,normal,welfare seized,aban field,2024-11-10,return to owner,FALSE,"33.7895849, -118.1586444",No,1,11,Fall
cat,tan,Unknown,2016-12-03,2017-01-03,ill severe,stray,field,2017-01-05,euthanasia,TRUE,"33.8118358, -118.2119199",No,8,01,Winter
cat,brown  tabby,Male,2017-08-15,2017-09-15,under age/weight,stray,otc,2017-09-28,euthanasia,TRUE,"33.8118358, -118.2119199",No,7,09,Fall
cat,black,Male,2023-11-04,2024-11-04,normal,welfare seized,aban field,2024-11-10,return to owner,FALSE,"33.7895849, -118.1586444",No,1,11,Fall
cat,cream tabby,Neutered,2017-08-15,2017-09-15,under age/weight,stray,otc,2017-11-22,return to owner,FALSE,"33.8118358, -118.2119199",No,7,11,Fall
cat,black,Male,2023-11-04,2024-11-04,normal,welfare seized,aban field,2024-11-10,return to owner,FALSE,"33.7895849, -118.1586444",No,1,11,Fall
dog,tan,Female,2005-02-24,2017-02-24,normal,owner surrender,otc,2017-02-25,transfer,FALSE,"33.8118358, -118.2119199",No,20,02,Winter
cat,seal point,Male,2018-10-18,2018-12-18,ill mild,stray,field,2018-12-20,euthanasia,TRUE,"33.8118358, -118.2119199",No,6,12,Winter
cat,gray tabby,Female,2022-07-02,2022-07-16,under age/weight,stray,otc,2022-07-30,adoption,FALSE,"33.8598912, -118.1587358",Yes,2,07,Summer
cat,black,Unknown,2023-08-14,2023-08-16,under age/weight,stray,otc,2023-08-16,euthanasia,TRUE,"33.8120512, -118.16674",No,1,08,Summer
bird,gray,Unknown,2020-09-26,2021-09-26,ill severe,wildlife,field,2021-09-26,euthanasia,TRUE,"33.7859464, -118.1589427",No,4,09,Fall
cat,gray tabby,Male,2024-07-01,2024-07-17,under age/weight,stray,otc,2024-07-31,rescue,FALSE,"33.8115705, -118.1588557",No,0,07,Summer
cat,gray,Male,2023-02-24,2023-03-17,under age/weight,stray,otc,2023-03-17,rescue,FALSE,"33.8576321, -118.1587672",No,2,03,Spring
cat,seal point,Male,2017-08-25,2017-09-02,under age/weight,stray,otc,2017-09-02,rescue,FALSE,"33.81045400000001, -118.078276",No,7,09,Fall
cat,brown  tabby,Male,2017-04-18,2017-05-21,under age/weight,stray,otc,2017-05-21,euthanasia,TRUE,"33.8081403, -118.2098294",No,7,05,Spring
cat,black,Female,2019-07-27,2019-09-27,under age/weight,owner surrender,otc,2019-09-28,rescue,FALSE,"33.8118228, -118.1988625",No,5,09,Fall
cat,black,Male,2017-04-16,2017-05-21,under age/weight,stray,otc,2017-05-21,euthanasia,TRUE,"33.8081403, -118.2098294",No,7,05,Spring
cat,gray tabby,Female,2019-07-27,2019-09-27,under age/weight,owner surrender,otc,2019-09-28,rescue,FALSE,"33.8118228, -118.1988625",No,5,09,Fall
dog,tan,Female,2012-09-16,2019-09-16,normal,stray,otc,2019-09-22,transfer,FALSE,"33.8081403, -118.2098294",No,12,09,Fall
